gene_set	p-value	q-value	enrich_description
GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN	0.004857853113177007	0.020007306034187877	(17776, 158, 123, 5, 'FEN1;TP53;CDK6;CCND2;LDLR')
GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN	0.004857853113177007	0.020007306034187877	(17776, 158, 123, 5, 'PHB;PAM;NR1H3;HIRIP3;NFAT5')
GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_DN	0.004857853113177007	0.020007306034187877	(17776, 158, 123, 5, 'TRA2B;WDR36;STX1B;RPL6;FLG')
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_UP	0.004857853113177007	0.020007306034187877	(17776, 158, 123, 5, 'TCF7L2;SERPINA1;MAPK3;NUPR1;NQO1')
GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP	0.004857853113177007	0.020007306034187877	(17776, 158, 123, 5, 'FEN1;SURF4;BLK;PTPN11;INO80E')
GSE11386_NAIVE_VS_MEMORY_BCELL_DN	0.004857853113177007	0.020007306034187877	(17776, 158, 123, 5, 'BANK1;RPS26;BACH2;JMJD1C;FNBP4')
GSE37301_MULTIPOTENT_PROGENITOR_VS_COMMON_LYMPHOID_PROGENITOR_UP	0.004857853113177007	0.020007306034187877	(17776, 158, 123, 5, 'INO80;RREB1;ARHGAP27;NPC1;TCTA')
GSE6269_HEALTHY_VS_STAPH_AUREUS_INF_PBMC_UP	0.004857853113177007	0.020007306034187877	(17776, 158, 123, 5, 'LIMA1;TCF4;PML;SMARCA4;OGFOD2')
HUMMERICH_MALIGNANT_SKIN_TUMOR_DN	0.0048881635536318834	0.020109579834197956	(17776, 158, 12, 2, 'ATP2A1;TNNT3')
NIELSEN_LEIOMYOSARCOMA_DN	0.0048881635536318834	0.020109579834197956	(17776, 158, 12, 2, 'PMEL;LRP5')
SHIN_B_CELL_LYMPHOMA_CLUSTER_9	0.0048881635536318834	0.020109579834197956	(17776, 158, 12, 2, 'IKZF3;CD19')
SESTO_RESPONSE_TO_UV_C0	0.004920962902831429	0.020214309753406386	(17776, 158, 77, 4, 'PSMA4;GTF2B;ERBB3;CHMP1A')
SANA_TNF_SIGNALING_DN	0.004920962902831429	0.020214309753406386	(17776, 158, 77, 4, 'EFEMP1;NQO1;PDLIM4;NOS3')
BROWNE_HCMV_INFECTION_20HR_DN	0.004920962902831429	0.020214309753406386	(17776, 158, 77, 4, 'TNKS;LPP;NQO1;SLC22A4')
PAX8_B	0.004920962902831429	0.020214309753406386	(17776, 158, 77, 4, 'PTCH1;WNT4;TCF7L2;JMJD1C')
KYNG_DNA_DAMAGE_UP	0.004929763971463355	0.0202278280990037	(17776, 158, 176, 6, 'RBM6;RBM5;LRP1;IL18R1;FADS1;SOX7')
CEBP_Q3	0.004929763971463355	0.0202278280990037	(17776, 158, 176, 6, 'HHIP;WNT3;C1QTNF4;CADM2;PITX2;CEP120')
MEIS1_01	0.004929763971463355	0.0202278280990037	(17776, 158, 176, 6, 'TCF7L2;CDKN2B;TNKS;MAPT;CLN3;ITCH')
chr12q23	0.004982872070644322	0.02039255671274839	(17776, 158, 39, 3, 'RPL6;ATXN2;MYL2')
PID_NFAT_TFPATHWAY	0.004982872070644322	0.02039255671274839	(17776, 158, 39, 3, 'IRF4;IL5;ITCH;CSF2;IL3')
TCCCCAC_MIR491	0.004982872070644322	0.02039255671274839	(17776, 158, 39, 3, 'ATP2A1;GPD1;ATXN2L')
HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_DN	0.004982872070644322	0.02039255671274839	(17776, 158, 39, 3, 'SMARCA4;AP4B1;APOC1')
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	0.004982872070644322	0.02039255671274839	(17776, 158, 39, 3, 'LRP1;ATP1B1;NSF')
GCTGAGT_MIR5125P	0.004982872070644322	0.02039255671274839	(17776, 158, 39, 3, 'ERP29;XKR6;PLEKHM1')
PID_RHOA_PATHWAY	0.004982872070644322	0.02039255671274839	(17776, 158, 39, 3, 'RHOA;MYL2;PKN2')
GSE10273_HIGH_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'BUD13;NME7;HIRIP3;FAM167A;CDKN2A')
GSE3920_UNTREATED_VS_IFNG_TREATED_FIBROBLAST_UP	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'IKZF3;GTF2B;ZBTB38;DCLRE1B;PLG')
GSE27291_6H_VS_7D_STIM_GAMMADELTA_TCELL_UP	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'MSRA;NR1H3;APEH;RHOA;KBTBD4')
GSE14415_INDUCED_TREG_VS_TCONV_DN	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'SMAD3;SH2B1;FOXO3;CCND2;L3MBTL3')
GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_UP	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'CPNE7;IGF2BP2;RERE;MST1;SGK223')
GSE34515_CD16_NEG_VS_POS_MONOCYTE_DN	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'ADCY3;ALDH2;BCL7C;MRPL33;IRF4')
GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'PVRL2;LIMA1;PML;C5orf56;PNPT1')
GSE7219_WT_VS_NIK_NFKB2_KO_DC_DN	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'SMAD3;BACH2;IL18R1;IL18RAP;TLR1')
GSE19923_E2A_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_DN	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'C16orf3;F5;CDK6;GATA4;IL3')
GSE5099_DAY3_VS_DAY7_MCSF_TREATED_MACROPHAGE_UP	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'PHB;XKR6;CCR7;DEF8;CCND2')
GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'FADS2;CORO1A;SERPINA1;FADS1;FURIN;PTPN22')
GSE17974_0.5H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'TMEM116;DLEU1;NSF;FADS1;NPC1')
WNT_UP.V1_DN	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'ADRB1;CLN3;CELF1;TLR6;PTPN22')
GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'INO80;PVRL2;HMGCR;TLR1;MTMR9')
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP	0.005026407143678082	0.020456696922884963	(17776, 158, 124, 5, 'PTPMT1;FEN1;C18orf8;TLR1;MTMR9')
WINTER_HYPOXIA_METAGENE	0.0050661239158722145	0.020603110297452255	(17776, 158, 177, 6, 'LRP1;TP53;RIOK3;P4HA2;NOS3;ALDOA')
TTTTGAG_MIR373	0.0050661239158722145	0.020603110297452255	(17776, 158, 177, 6, 'TRA2B;TNRC6A;SURF4;FNBP4;DAG1;PITPNM2')
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN	0.005151684901579117	0.02092017176293909	(17776, 158, 78, 4, 'MPHOSPH9;ITCH;MAD1L1;PLCE1')
BASSO_CD40_SIGNALING_UP	0.005151684901579117	0.02092017176293909	(17776, 158, 78, 4, 'PHACTR1;SH2B3;IRF4;CCR7')
HOSHIDA_LIVER_CANCER_SURVIVAL_DN	0.005151684901579117	0.02092017176293909	(17776, 158, 78, 4, 'HMGCR;PLG;GCKR;CUX2')
KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3	0.005151684901579117	0.02092017176293909	(17776, 158, 78, 4, 'HNF1B;MAPT;LACE1;IREB2')
GSE369_IFNG_KO_VS_WT_LIVER_DN	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'CCR7;CYB5B;PSMA4;TOMM40;PNPT1')
GSE6259_DEC205_POS_DC_VS_CD8_TCELL_UP	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'FADS2;CORO1A;ALDH2;TUFM;BLK')
GSE37534_PIOGLITAZONE_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_DN	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'LPP;SMARCE1;PAM;NUPR1;STAT6')
GSE40274_CTRL_VS_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'CCR7;CHMP1A;IRF4;NQO1;TRAFD1')
ATGAAGG_MIR205	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'NAA25;ERBB3;LRP1;NFAT5;GTF3C2')
GSE25088_CTRL_VS_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_UP	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'SMARCE1;TP53;MYL2;FAM167A;CCDC121')
GSE17721_POLYIC_VS_GARDIQUIMOD_16H_BMDC_DN	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'LRP1;CERS5;MAPK3;DEF8;PTPN11')
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_IFNAR_KO_UP	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'NEIL2;SH2B1;CCDC101;PINX1;SGK223')
GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'KCTD13;IKZF3;ATP1B1;IL18RAP;CNNM2')
GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_48H_DN	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'IRF1;IQCH;ZNF276;IRF4;TRAFD1')
GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_DN	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'CLPTM1L;MAMSTR;ATXN2;PIGU;APEH;GMPPB')
GSE11973_MIR223_KOVS_WT_BONE_MARROW_NEUTROPHIL_DN	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'PPA2;PML;GMPPB;CCDC101;IL5')
GSE25677_R848_VS_MPL_AND_R848_STIM_BCELL_DN	0.005199069561466192	0.021011872690065016	(17776, 158, 125, 5, 'TRA2B;LSP1;APOE;GPD1;PTPN22')
DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_UP	0.005229425171412365	0.021126800958460888	(17776, 158, 236, 7, 'GPN1;CELF1;ITCH;MKLN1;PML;BRAP;IREB2')
GATA1_01	0.005347130828917324	0.021586492602223787	(17776, 158, 179, 6, 'KCTD13;RBM5;LRP1;STX1B;PDLIM4;RERE')
AP1_01	0.005347130828917324	0.021586492602223787	(17776, 158, 179, 6, 'ATP1B1;TNRC6A;GTF2B;SLC38A3;EXD1;ALDOA')
TBK1.DN.48HRS_UP	0.005352164444772895	0.021590984260177252	(17776, 158, 40, 3, 'APOE;MAP3K4;CDKN2A')
DAUER_STAT3_TARGETS_UP	0.005352164444772895	0.021590984260177252	(17776, 158, 40, 3, 'LDLR;NPC1;BCL3')
GSE21927_SPLENIC_C26GM_TUMOROUS_VS_4T1_TUMOR_MONOCYTES_UP	0.005375893264448352	0.021607559314368505	(17776, 158, 126, 5, 'SETD8;EIF2B4;STX1B;SLC19A2;SLC9A3R2')
GSE7568_CTRL_VS_3H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN	0.005375893264448352	0.021607559314368505	(17776, 158, 126, 5, 'TNRC6A;ANAPC4;CCDC101;USP4;TLR6')
GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP	0.005375893264448352	0.021607559314368505	(17776, 158, 126, 5, 'UBA7;NAA25;PML;IRF4;MTHFR;TRAFD1')
GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_DN	0.005375893264448352	0.021607559314368505	(17776, 158, 126, 5, 'C16orf3;C8orf12;ZNF513;ITCH;FLG')
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_DN	0.005375893264448352	0.021607559314368505	(17776, 158, 126, 5, 'USP49;IGF2BP2;FOXO3;MAPK3;SLC22A4')
GSE27786_BCELL_VS_ERYTHROBLAST_UP	0.005375893264448352	0.021607559314368505	(17776, 158, 126, 5, 'TRA2B;SBNO1;NDUFS3;DAG1;IFT172')
GSE21927_SPLENIC_C26GM_TUMOROUS_VS_BONE_MARROW_MONOCYTES_DN	0.005375893264448352	0.021607559314368505	(17776, 158, 126, 5, 'LSP1;ANAPC4;NOS3;FAM167A;USP4')
GSE26030_TH1_VS_TH17_RESTIMULATED_DAY15_POST_POLARIZATION_DN	0.005375893264448352	0.021607559314368505	(17776, 158, 126, 5, 'RBM6;CORO1A;NR1H3;NUPR1;PTPN22')
GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP	0.005375893264448352	0.021607559314368505	(17776, 158, 126, 5, 'NICN1;GAS8;FADS2;TRPC4AP;MRPL33')
GSE27291_0H_VS_6H_STIM_GAMMADELTA_TCELL_UP	0.005375893264448352	0.021607559314368505	(17776, 158, 126, 5, 'MPHOSPH9;MSRA;TP53;STAT6;IREB2')
REACTOME_SIGNALING_BY_ERBB2	0.005389547364392274	0.021638747766697816	(17776, 158, 79, 4, 'MAPK3;ADCY3;ERBB3;FOXO3')
LE_EGR2_TARGETS_DN	0.005389547364392274	0.021638747766697816	(17776, 158, 79, 4, 'HMGCR;FADS1;SULT1A1;FDFT1')
ATTACAT_MIR3803P	0.005389547364392274	0.021638747766697816	(17776, 158, 79, 4, 'USP49;ATXN2L;FAM167A;LIN28B')
CTCAGGG_MIR125B_MIR125A	0.005471317097144085	0.02195904343689789	(17776, 158, 238, 7, 'LIN28B;MADD;IKZF4;IP6K1;DAG1;IRF4;BSN')
CREBP1_Q2	0.005491842350425987	0.022017349765286274	(17776, 158, 180, 6, 'HHIP;DNAJC27;CCND2;ASPHD1;FAM167A;PITX2')
TCF4_Q5	0.005491842350425987	0.022017349765286274	(17776, 158, 180, 6, 'TCF7L2;WNT3;EIF2B4;PAM;HOXA11;RERE')
TBP_01	0.005491842350425987	0.022017349765286274	(17776, 158, 180, 6, 'KLHDC8B;RAB5B;SMAD3;CLDN23;FGF5;CELF4')
MEISSNER_NPC_HCP_WITH_H3K4ME2	0.005534855610302938	0.022181719372731536	(17776, 158, 366, 9, 'ADCY3;DOC2A;SEMA3F;BSN;SLC9A3R2;PRDM8;MFHAS1;WNT2B;CELF4')
GSE43955_10H_VS_60H_ACT_CD4_TCELL_UP	0.005556930955646977	0.02219749024829168	(17776, 158, 127, 5, 'ALDH2;TRAIP;HMGCR;GMPPB;SMARCA4')
GSE21360_NAIVE_VS_PRIMARY_MEMORY_CD8_TCELL_UP	0.005556930955646977	0.02219749024829168	(17776, 158, 127, 5, 'PVRL2;SMAD3;CCND2;APOC1;FURIN')
GSE40274_FOXP3_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.005556930955646977	0.02219749024829168	(17776, 158, 127, 5, 'TMEM219;KCTD13;ATP1B1;AMIGO3;PITPNM2;PNPT1')
GSE17721_POLYIC_VS_GARDIQUIMOD_24H_BMDC_DN	0.005556930955646977	0.02219749024829168	(17776, 158, 127, 5, 'PTPMT1;TUFM;C18orf8;SLC22A4;SLC19A2')
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_DN	0.005556930955646977	0.02219749024829168	(17776, 158, 127, 5, 'SERPINA1;RIOK3;FADS1;SLC22A4;GPX1')
GSE34156_UNTREATED_VS_6H_NOD2_LIGAND_TREATED_MONOCYTE_UP	0.005556930955646977	0.02219749024829168	(17776, 158, 127, 5, 'PTPMT1;SEPT9;CYB5B;IL1RL2;SLC22A4')
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_MULTIPOTENT_PROGENITOR_DN	0.005556930955646977	0.02219749024829168	(17776, 158, 127, 5, 'NEIL2;CHRNA5;AAGAB;STAT6;APOE')
GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_DN	0.005556930955646977	0.02219749024829168	(17776, 158, 127, 5, 'IKZF3;IRF1;ADRB1;NR1H3;PML')
GSE17721_CTRL_VS_GARDIQUIMOD_2H_BMDC_UP	0.005556930955646977	0.02219749024829168	(17776, 158, 127, 5, 'TNRC6A;CCND2;PDLIM4;IFT172;OGFOD2')
MENSE_HYPOXIA_UP	0.005634647053517362	0.022499770848581114	(17776, 158, 80, 4, 'RIOK3;TSLP;P4HA2;LCORL')
DR4_Q2	0.005639402266717161	0.022510597014627074	(17776, 158, 181, 6, 'BCL3;ERBB3;ATP1B1;ZNF513;APOC1;RREB1')
SA_G1_AND_S_PHASES	0.005743350630390862	0.022662673053563082	(17776, 158, 13, 2, 'TP53;CDKN2A')
GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_6H_DN	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'DOC2A;SMAD3;IL18R1;RP1;BCKDK')
GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_DN	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'NCAPG;IZUMO1;SLC22A1;C1orf167;MAP3K4')
PID_INSULIN_PATHWAY	0.005737495472685836	0.022662673053563082	(17776, 158, 41, 3, 'EXOC2;PTPN11;FOXO3')
IL15_UP.V1_DN	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'WNT4;ASPHD1;LRRC37A;FLG;CUX2')
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_DN	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'IRF1;GTF2B;SPATA2L;SLC39A8;RIOK3')
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	0.005743350630390862	0.022662673053563082	(17776, 158, 13, 2, 'ATP2A1;FURIN')
PID_ARF6_DOWNSTREAM_PATHWAY	0.005743350630390862	0.022662673053563082	(17776, 158, 13, 2, 'MAPK3;RHOA')
GSE37301_PRO_BCELL_VS_CD4_TCELL_UP	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'RPS26;ACAD10;SH2B3;TCF4;ARHGAP27;TLR6')
STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN	0.005737495472685836	0.022662673053563082	(17776, 158, 41, 3, 'PSMA4;LRP5;APOC1')
MORI_LARGE_PRE_BII_LYMPHOCYTE_DN	0.005737495472685836	0.022662673053563082	(17776, 158, 41, 3, 'UBA7;LPP;ALDH2')
MORI_PLASMA_CELL_UP	0.005737495472685836	0.022662673053563082	(17776, 158, 41, 3, 'GMPPB;CHRNB4;SURF4')
NIKOLSKY_BREAST_CANCER_11Q12_Q14_AMPLICON	0.005737495472685836	0.022662673053563082	(17776, 158, 41, 3, 'GAL;PPP6R3;C11orf30')
TIMOFEEVA_GROWTH_STRESS_VIA_STAT1_DN	0.005743350630390862	0.022662673053563082	(17776, 158, 13, 2, 'CCND2;CDK10')
PID_S1P_S1P4_PATHWAY	0.005743350630390862	0.022662673053563082	(17776, 158, 13, 2, 'MAPK3;RHOA')
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.005743350630390862	0.022662673053563082	(17776, 158, 13, 2, 'HMGCR;FDFT1')
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_1H_CD4_TCELL_DN	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'NPC1;ZNF259;EXOC2;IRF4;SGK223;TLR1')
GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_DN	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'SMARCE1;TRPC4AP;WDR36;CCR7;TCF4;IREB2')
GUILLAUMOND_KLF10_TARGETS_UP	0.005737495472685836	0.022662673053563082	(17776, 158, 41, 3, 'CELSR2;DAG1;FEN1')
REACTOME_BETA_DEFENSINS	0.005743350630390862	0.022662673053563082	(17776, 158, 13, 2, 'DEFB135;TLR1;DEFB136;DEFB134')
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.005743350630390862	0.022662673053563082	(17776, 158, 13, 2, 'ABCG8;ABCG5')
PID_IL5_PATHWAY	0.005743350630390862	0.022662673053563082	(17776, 158, 13, 2, 'IL5;PTPN11')
GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'CPS1;PHACTR1;CD19;CDK10;AMT')
GSE360_DC_VS_MAC_DN	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'RPS26;MAPT;NDUFS3;CDK10;FOXO3')
PENG_GLUCOSE_DEPRIVATION_DN	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'PHB;BCL3;EIF2B4;ABO;SH2B1')
GGTGAAG_MIR412	0.005737495472685836	0.022662673053563082	(17776, 158, 41, 3, 'DAG1;BSN;FOXO3')
BIOCARTA_IL3_PATHWAY	0.005743350630390862	0.022662673053563082	(17776, 158, 13, 2, 'MAPK3;IL3')
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.005743350630390862	0.022662673053563082	(17776, 158, 13, 2, 'MTHFR;AMT')
GGGATGC_MIR3245P	0.005737495472685836	0.022662673053563082	(17776, 158, 41, 3, 'BACH2;NFAT5;CAMKV')
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'ADCY3;CCR7;FOXO3;MAPK3;RHOA')
GSE7768_OVA_WITH_LPS_VS_OVA_WITH_MPL_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_DN	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'TMEM219;RSBN1;MTHFR;PNPT1;CLDN23')
GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_DN	0.00574223512980646	0.022662673053563082	(17776, 158, 128, 5, 'LPP;ADRB1;FAM83C;PITPNM2;NQO1')
RFX1_01	0.005789842821158853	0.022829766913506067	(17776, 158, 182, 6, 'SIX1;PTCH1;AGBL2;FAM167A;PITX2;GPX1')
AP1_Q6	0.005789842821158853	0.022829766913506067	(17776, 158, 182, 6, 'LPP;ATP1B1;GTF2B;MAPK3;HOXA11;GPX1;ALDOA')
PURBEY_TARGETS_OF_CTBP1_NOT_SATB1_UP	0.0058497845659159515	0.023057865935730983	(17776, 158, 241, 7, 'LPP;CDKN2B;IL18R1;HOXA13;TLR10;HEXIM1;IREB2')
BROWNE_HCMV_INFECTION_8HR_UP	0.005887079488938288	0.023196567589151115	(17776, 158, 81, 4, 'FNBP4;IRF4;PTPN11;APOE')
GSE44955_MCSF_VS_MCSF_AND_IL27_STIM_MACROPHAGE_DN	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'CELF1;STAT6;FAM109A;DAG1;MAD1L1')
GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_DN	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'UBA7;MKLN1;PML;DAG1;TRAFD1')
GSE29615_CTRL_VS_DAY3_LAIV_IFLU_VACCINE_PBMC_DN	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'ZNF512;FTO;MTCH2;GTF3C2;WNT2B')
GSE17721_LPS_VS_CPG_24H_BMDC_UP	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'UBA7;SIX1;LACE1;SLC39A8;NRBP1')
GSE20727_CTRL_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'GTF3C2;IFT172;NDUFS3;CDK10;FNBP4;CEP120;NQO1')
GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_UP	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'ALDH2;KAT8;MAPT;RREB1;RERE')
GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'MPHOSPH9;FEN1;IL3;AAGAB;SMARCA4')
GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_BCELL_UP	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'PTPMT1;PHB;CYB5B;PIGU;OGFOD2')
GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'ADH1B;CEP250;DNAJC27;ACAD10;DAG1')
GSE14908_ATOPIC_VS_NONATOPIC_PATIENT_HDM_STIM_CD4_TCELL_DN	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'FEN1;SBNO1;NHLRC2;BCKDK;INO80E')
GSE3982_BCELL_VS_BASOPHIL_UP	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'BACH2;THADA;P4HA2;DBNDD1;MFHAS1')
GSE15271_CXCR4_POS_VS_NEG_GC_BCELL_DN	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'PLEKHM1;LRP1;CCR7;SLC22A5;FURIN')
GSE11864_UNTREATED_VS_CSF1_IN_MAC_DN	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'HIRIP3;IL1RL2;P4HA2;GMPPB;NQO1')
TAAYNRNNTCC_UNKNOWN	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'NME7;FOXO3;CSF2;FURIN;GPX1')
GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH1_DN	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'PHB;NCAPG;FES;PPM1G;MTCH2')
GSE3982_EOSINOPHIL_VS_BCELL_DN	0.0059318580639061745	0.02323996899957264	(17776, 158, 129, 5, 'IRF4;ACAD10;FTO;SMARCA4;RERE')
E47_02	0.005943196235621409	0.02325956650422835	(17776, 158, 183, 6, 'ERBB3;IRF1;JMJD1C;CELF1;HNF1B;CELF4')
FOSTER_KDM1A_TARGETS_UP	0.005943196235621409	0.02325956650422835	(17776, 158, 183, 6, 'PMEL;DEFB136;BCL2L15;MYL2;PDLIM4;L3MBTL3;DEFB135;PTPN22')
BACH1_01	0.005943196235621409	0.02325956650422835	(17776, 158, 183, 6, 'LPP;ATP1B1;TNRC6A;GTF2B;GPX1;ALDOA')
BROWNE_HCMV_INFECTION_4HR_DN	0.006099494705757426	0.023811550611697745	(17776, 158, 184, 6, 'ZNF629;SIX1;KAT8;SMAD3;SERPINA1;GDF5')
GSE360_CTRL_VS_L_DONOVANI_MAC_UP	0.006125851805332573	0.023811550611697745	(17776, 158, 130, 5, 'ZNF629;UBA7;CHMP1A;ATXN2;PPM1G')
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	0.006099494705757426	0.023811550611697745	(17776, 158, 184, 6, 'UBA7;IRF1;IRF4;IL5;SH2B1;MAPK3;PML;CSF2;IL3')
