Subgraph	Loci	Num_of_clumps	Gene_list	Num_of_genes	Num_of_SNPs	Num_of_nodes Phens	
14_24_25_34_73	clump7	1	LPA	1	1	5	(24)Father's age at death; (73)Treatment/medication code: simvastatin; (34)Illnesses of mother: Heart disease; (34)Diagnoses - main ICD10: I21 Acute myocardial infarction; (73)Non-cancer illness code, self-reported: high cholesterol; (34)Diagnoses - main ICD10: I20 Angina pectoris; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (34)Vascular/heart problems diagnosed by doctor: Heart attack; (34)Treatment/medication code: aspirin; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (73)Treatment/medication code: atorvastatin; (34)Non-cancer illness code, self-reported: angina; (25)Treatment/medication code: ezetimibe; (34)Medication for pain relief, constipation, heartburn: Aspirin; (34)Non-cancer illness code, self-reported: heart attack/myocardial infarction; (34)Diagnoses - main ICD10: I25 Chronic ischaemic heart disease; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (14)Number of treatments/medications taken; (34)Vascular/heart problems diagnosed by doctor: Angina; (34)Illnesses of father: Heart disease
24_25_34_73	clump7	1	PLG; LPA	2	2	4	(24)Father's age at death; (73)Treatment/medication code: simvastatin; (34)Illnesses of mother: Heart disease; (34)Diagnoses - main ICD10: I21 Acute myocardial infarction; (73)Non-cancer illness code, self-reported: high cholesterol; (34)Diagnoses - main ICD10: I20 Angina pectoris; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (34)Vascular/heart problems diagnosed by doctor: Heart attack; (34)Treatment/medication code: aspirin; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (73)Treatment/medication code: atorvastatin; (34)Non-cancer illness code, self-reported: angina; (25)Treatment/medication code: ezetimibe; (34)Medication for pain relief, constipation, heartburn: Aspirin; (34)Non-cancer illness code, self-reported: heart attack/myocardial infarction; (34)Diagnoses - main ICD10: I25 Chronic ischaemic heart disease; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (14)Number of treatments/medications taken; (34)Vascular/heart problems diagnosed by doctor: Angina; (34)Illnesses of father: Heart disease
21_33_36_73_119	clump31; clump21; clump42; clump44; clump0; clump40	6	MIR6832; HLA-DQA1; SH2B3; ATXN2; FAM109A; C2; AIF1; HLA-DRB1; PRRC2A; NELFE; NOS3; BAG6; SNORA38; SLC44A4	14	40	5	(36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma; (6)Smoking status: Previous; (21)Impedance of arm (right); (119)Illnesses of siblings: High blood pressure; (110)Treatment/medication code: thyroxine product; (11)Treatment/medication code: paracetamol; (21)Comparative body size at age 10; (36)Non-cancer illness code, self-reported: ankylosing spondylitis; (21)Leg fat percentage (left); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (21)Arm fat percentage (left); (119)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: None of the above; (154)Birth weight of first child; (11)Medication for pain relief, constipation, heartburn: Paracetamol; (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema; (21)Weight; (33)Non-cancer illness code, self-reported: hypertension; (21)Impedance of arm (left); (11)Forced vital capacity (FVC), Best measure; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (21)Body fat percentage; (36)Non-cancer illness code, self-reported: asthma; (3)Overall health rating; (21)Arm fat percentage (right); (119)Medication for cholesterol, blood pressure or diabetes: Blood pressure medication; (21)Trunk predicted mass; (14)Started insulin within one year diagnosis of diabetes; (119)Treatment/medication code: bendroflumethiazide; (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (34)Illnesses of father: Heart disease; (21)Arm predicted mass (left); (34)Diagnoses - main ICD10: I21 Acute myocardial infarction; (159)Forced expiratory volume in 1-second (FEV1), predicted; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (36)Non-cancer illness code, self-reported: psoriasis; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (21)Leg fat percentage (right); (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (6)Past tobacco smoking; (33)Vascular/heart problems diagnosed by doctor: None of the above; (14)Non-cancer illness code, self-reported: rheumatoid arthritis; (85)Illnesses of siblings: None of the above (group 1); (14)Number of treatments/medications taken; (21)Sitting height; (174)Age when periods started (menarche); (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (14)Taking other prescription medications; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (36)Treatment/medication code: levothyroxine sodium; (155)Mean time to correctly identify matches; (21)Standing height; (21)Impedance of whole body; (21)Leg predicted mass (left); (34)Non-cancer illness code, self-reported: heart attack/myocardial infarction; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (110)Treatment/medication code: carbimazole; (14)Number of self-reported non-cancer illnesses; (33)Diastolic blood pressure, automated reading; (21)Basal metabolic rate; (21)Hip circumference; (11)Hand grip strength (left); (6)Worrier / anxious feelings; (85)Treatment/medication code: atenolol; (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (11)Medication for pain relief, constipation, heartburn: None of the above; (11)Hand grip strength (right); (119)Treatment/medication code: amlodipine; (33)Systolic blood pressure, automated reading; (21)Whole body fat-free mass; (119)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication; (21)Leg fat-free mass (left); (11)Mouth/teeth dental problems: Mouth ulcers; (73)Non-cancer illness code, self-reported: high cholesterol; (154)Birth weight
6_11_21_27_36_195	clump10; clump47; clump50	3	MFHAS1; LINC00208; MTMR9; LOC157273; FAM86B3P; SGK223; FAM167A; BLK; CLDN23	9	78	6	(21)Impedance of arm (right); (21)Body mass index (BMI); (21)Leg fat mass (right); (33)Non-cancer illness code, self-reported: hypertension; (21)Comparative body size at age 10; (27)Tense / 'highly strung'; (21)Impedance of arm (left); (11)Fed-up feelings; (195)Heel bone mineral density (BMD) T-score, automated (right); (11)Irritability; (195)Heel bone mineral density (BMD) T-score, automated (left); (6)Suffer from 'nerves'; (195)Heel bone mineral density (BMD) T-score, automated; (21)Leg fat-free mass (right); (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Arm fat mass (left); (27)Worry too long after embarrassment; (21)Impedance of leg (left); (21)Leg predicted mass (right); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (36)Treatment/medication code: levothyroxine sodium; (11)Nervous feelings; (21)Standing height; (21)Impedance of whole body; (21)Leg predicted mass (left); (33)Diastolic blood pressure, automated reading; (11)Miserableness; (11)Neuroticism score; (6)Worrier / anxious feelings; (21)Arm fat mass (right); (21)Impedance of leg (right); (21)Leg fat mass (left); (11)Peak expiratory flow (PEF); (33)Systolic blood pressure, automated reading; (21)Leg fat-free mass (left)
6_11_21_27_33_36_195	clump10; clump47; clump50	3	MFHAS1; LINC00208; MTMR9; LOC157273; FAM86B3P; SGK223; FAM167A; BLK; CLDN23	9	68	7	(21)Impedance of arm (right); (21)Body mass index (BMI); (21)Leg fat mass (right); (33)Non-cancer illness code, self-reported: hypertension; (21)Comparative body size at age 10; (27)Tense / 'highly strung'; (21)Impedance of arm (left); (11)Fed-up feelings; (195)Heel bone mineral density (BMD) T-score, automated (right); (11)Irritability; (195)Heel bone mineral density (BMD) T-score, automated (left); (6)Suffer from 'nerves'; (195)Heel bone mineral density (BMD) T-score, automated; (21)Leg fat-free mass (right); (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Arm fat mass (left); (27)Worry too long after embarrassment; (21)Impedance of leg (left); (21)Leg predicted mass (right); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (36)Treatment/medication code: levothyroxine sodium; (11)Nervous feelings; (21)Standing height; (21)Impedance of whole body; (21)Leg predicted mass (left); (33)Diastolic blood pressure, automated reading; (11)Miserableness; (11)Neuroticism score; (6)Worrier / anxious feelings; (21)Arm fat mass (right); (21)Impedance of leg (right); (21)Leg fat mass (left); (11)Peak expiratory flow (PEF); (33)Systolic blood pressure, automated reading; (21)Leg fat-free mass (left)
6_11_21_33_36_195	clump10; clump47; clump50; clump12; clump35; clump34	6	GATA4; MFHAS1; BLK; LINC00208; MSRA; DEFB136; MTMR9; MIR4660; LOC157273; FAM86B3P; SGK223; FAM167A; DEFB134; DEFB130; CTSB; PPP1R3B; FAM167A-AS1; CLDN23	18	106	6	(21)Impedance of arm (right); (21)Body mass index (BMI); (21)Leg fat mass (right); (33)Non-cancer illness code, self-reported: hypertension; (21)Comparative body size at age 10; (27)Tense / 'highly strung'; (21)Impedance of arm (left); (33)Vascular/heart problems diagnosed by doctor: None of the above; (11)Fed-up feelings; (195)Heel bone mineral density (BMD) T-score, automated (right); (11)Irritability; (195)Heel bone mineral density (BMD) T-score, automated (left); (7)Sleep duration; (6)Suffer from 'nerves'; (195)Heel bone mineral density (BMD) T-score, automated; (21)Leg fat-free mass (right); (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Arm fat mass (left); (27)Worry too long after embarrassment; (21)Impedance of leg (left); (21)Leg predicted mass (right); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (36)Treatment/medication code: levothyroxine sodium; (11)Nervous feelings; (21)Standing height; (21)Impedance of whole body; (21)Leg predicted mass (left); (33)Diastolic blood pressure, automated reading; (11)Miserableness; (11)Neuroticism score; (6)Worrier / anxious feelings; (21)Arm fat mass (right); (21)Impedance of leg (right); (21)Leg fat mass (left); (11)Peak expiratory flow (PEF); (11)Mood swings; (33)Systolic blood pressure, automated reading; (21)Leg fat-free mass (left); (8)Morning/evening person (chronotype)
6_11_21_27_33_195	clump10; clump47; clump12; clump50; clump52	5	MFHAS1; SOX7; PINX1; MSRA; BLK; LINC00208; MTMR9; MIR4660; LOC157273; FAM86B3P; SGK223; FAM167A; XKR6; PPP1R3B; CLDN23	15	160	6	(21)Impedance of arm (right); (21)Body mass index (BMI); (21)Leg fat mass (right); (33)Non-cancer illness code, self-reported: hypertension; (21)Arm fat percentage (left); (21)Comparative body size at age 10; (21)Weight; (27)Tense / 'highly strung'; (21)Impedance of arm (left); (33)Vascular/heart problems diagnosed by doctor: None of the above; (11)Fed-up feelings; (21)Arm predicted mass (left); (21)Arm fat percentage (right); (195)Heel bone mineral density (BMD) T-score, automated (right); (11)Sensitivity / hurt feelings; (11)Irritability; (195)Heel bone mineral density (BMD) T-score, automated (left); (6)Suffer from 'nerves'; (195)Heel bone mineral density (BMD) T-score, automated; (21)Leg fat-free mass (right); (21)Whole body fat mass; (21)Arm predicted mass (right); (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Arm fat mass (left); (27)Worry too long after embarrassment; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (36)Treatment/medication code: levothyroxine sodium; (11)Nervous feelings; (21)Standing height; (21)Impedance of whole body; (21)Leg predicted mass (left); (21)Arm fat-free mass (right); (33)Diastolic blood pressure, automated reading; (21)Basal metabolic rate; (11)Miserableness; (11)Neuroticism score; (6)Worrier / anxious feelings; (21)Arm fat-free mass (left); (21)Arm fat mass (right); (21)Impedance of leg (right); (21)Leg fat mass (left); (11)Peak expiratory flow (PEF); (11)Mood swings; (33)Systolic blood pressure, automated reading; (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (21)Hip circumference
6_11_21_36_195	clump10; clump47; clump50; clump12; clump35; clump34	6	GATA4; MFHAS1; BLK; LINC00208; MSRA; DEFB136; MTMR9; MIR4660; LOC157273; FAM86B3P; SGK223; FAM167A; DEFB134; DEFB130; CTSB; PPP1R3B; FAM167A-AS1; CLDN23	18	117	5	(21)Impedance of arm (right); (21)Body mass index (BMI); (21)Leg fat mass (right); (33)Non-cancer illness code, self-reported: hypertension; (21)Comparative body size at age 10; (27)Tense / 'highly strung'; (21)Impedance of arm (left); (33)Vascular/heart problems diagnosed by doctor: None of the above; (11)Fed-up feelings; (195)Heel bone mineral density (BMD) T-score, automated (right); (11)Irritability; (195)Heel bone mineral density (BMD) T-score, automated (left); (7)Sleep duration; (6)Suffer from 'nerves'; (195)Heel bone mineral density (BMD) T-score, automated; (21)Leg fat-free mass (right); (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Arm fat mass (left); (27)Worry too long after embarrassment; (21)Impedance of leg (left); (21)Leg predicted mass (right); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (36)Treatment/medication code: levothyroxine sodium; (11)Nervous feelings; (21)Standing height; (21)Impedance of whole body; (21)Leg predicted mass (left); (33)Diastolic blood pressure, automated reading; (11)Miserableness; (11)Neuroticism score; (6)Worrier / anxious feelings; (21)Arm fat mass (right); (21)Impedance of leg (right); (21)Leg fat mass (left); (11)Peak expiratory flow (PEF); (11)Mood swings; (33)Systolic blood pressure, automated reading; (21)Leg fat-free mass (left); (8)Morning/evening person (chronotype)
6_11_21_33_119_195	clump10; clump47	2	FAM167A; MFHAS1; FAM167A-AS1	3	3	6	(21)Impedance of arm (right); (21)Body mass index (BMI); (21)Comparative body size at age 10; (33)Non-cancer illness code, self-reported: hypertension; (21)Impedance of arm (left); (11)Fed-up feelings; (11)Irritability; (195)Heel bone mineral density (BMD) T-score, automated (right); (195)Heel bone mineral density (BMD) T-score, automated (left); (195)Heel bone mineral density (BMD) T-score, automated; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Impedance of leg (left); (11)Nervous feelings; (21)Impedance of whole body; (33)Diastolic blood pressure, automated reading; (11)Miserableness; (11)Neuroticism score; (6)Worrier / anxious feelings; (21)Impedance of leg (right); (33)Systolic blood pressure, automated reading; (119)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication
6_8_11_21_33_36_195	clump50	1	LOC157273	1	2	7	(21)Impedance of leg (left); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (21)Body mass index (BMI); (195)Heel bone mineral density (BMD) T-score, automated (left); (21)Impedance of whole body; (21)Impedance of arm (right); (21)Comparative body size at age 10; (195)Heel bone mineral density (BMD) T-score, automated; (33)Non-cancer illness code, self-reported: hypertension; (33)Systolic blood pressure, automated reading; (21)Impedance of leg (right); (33)Diastolic blood pressure, automated reading; (11)Neuroticism score; (21)Impedance of arm (left); (6)Worrier / anxious feelings; (11)Irritability; (8)Morning/evening person (chronotype); (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (195)Heel bone mineral density (BMD) T-score, automated (right)
6_7_11_21_33_195	clump12	1	MSRA	1	3	6	(21)Impedance of arm (right); (21)Body mass index (BMI); (21)Leg fat mass (right); (33)Non-cancer illness code, self-reported: hypertension; (21)Impedance of arm (left); (33)Vascular/heart problems diagnosed by doctor: None of the above; (195)Heel bone mineral density (BMD) T-score, automated (right); (11)Irritability; (195)Heel bone mineral density (BMD) T-score, automated (left); (7)Sleep duration; (195)Heel bone mineral density (BMD) T-score, automated; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Arm fat mass (left); (21)Impedance of leg (left); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (11)Nervous feelings; (21)Leg predicted mass (left); (21)Impedance of whole body; (33)Diastolic blood pressure, automated reading; (11)Neuroticism score; (6)Worrier / anxious feelings; (21)Arm fat mass (right); (21)Impedance of leg (right); (21)Leg fat mass (left); (33)Systolic blood pressure, automated reading; (21)Leg fat-free mass (left)
6_7_11_21_33_36_195	clump12	1	MSRA	1	1	7	(21)Impedance of arm (right); (21)Body mass index (BMI); (21)Leg fat mass (right); (33)Non-cancer illness code, self-reported: hypertension; (21)Impedance of arm (left); (33)Vascular/heart problems diagnosed by doctor: None of the above; (195)Heel bone mineral density (BMD) T-score, automated (right); (11)Irritability; (195)Heel bone mineral density (BMD) T-score, automated (left); (7)Sleep duration; (195)Heel bone mineral density (BMD) T-score, automated; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Arm fat mass (left); (21)Impedance of leg (left); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (11)Nervous feelings; (21)Leg predicted mass (left); (21)Impedance of whole body; (33)Diastolic blood pressure, automated reading; (11)Neuroticism score; (6)Worrier / anxious feelings; (21)Arm fat mass (right); (21)Impedance of leg (right); (21)Leg fat mass (left); (33)Systolic blood pressure, automated reading; (21)Leg fat-free mass (left)
11_21_33_35_36_72_73	clump4	1	ABO	1	26	7	(73)Treatment/medication code: simvastatin; (21)Impedance of arm (right); (35)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung; (35)Diagnoses - main ICD10: I26 Pulmonary embolism; (35)Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis; (35)Non-cancer illness code, self-reported: deep venous thrombosis (dvt); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (21)Arm fat percentage (left); (21)Impedance of arm (left); (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (35)Non-cancer illness code, self-reported: pulmonary embolism +/- dvt; (21)Arm fat percentage (right); (34)Illnesses of father: Heart disease; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (195)Heel bone mineral density (BMD) T-score, automated; (72)Treatment/medication code: warfarin; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Impedance of leg (left); (33)Diastolic blood pressure, automated reading; (11)Forced vital capacity (FVC); (21)Impedance of leg (right); (11)Peak expiratory flow (PEF); (35)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT); (11)Forced expiratory volume in 1-second (FEV1); (73)Non-cancer illness code, self-reported: high cholesterol
11_21_33_34_35_36_72_73_195	clump4	1	ABO	1	3	9	(73)Treatment/medication code: simvastatin; (21)Impedance of arm (right); (35)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung; (35)Diagnoses - main ICD10: I26 Pulmonary embolism; (35)Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis; (35)Non-cancer illness code, self-reported: deep venous thrombosis (dvt); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (21)Arm fat percentage (left); (21)Impedance of arm (left); (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (35)Non-cancer illness code, self-reported: pulmonary embolism +/- dvt; (21)Arm fat percentage (right); (34)Illnesses of father: Heart disease; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (195)Heel bone mineral density (BMD) T-score, automated; (72)Treatment/medication code: warfarin; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Impedance of leg (left); (33)Diastolic blood pressure, automated reading; (11)Forced vital capacity (FVC); (21)Impedance of leg (right); (11)Peak expiratory flow (PEF); (35)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT); (11)Forced expiratory volume in 1-second (FEV1); (73)Non-cancer illness code, self-reported: high cholesterol
11_21_35_36_73_195	clump4	1	ABO	1	6	6	(73)Treatment/medication code: simvastatin; (21)Impedance of arm (right); (35)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung; (35)Diagnoses - main ICD10: I26 Pulmonary embolism; (35)Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis; (35)Non-cancer illness code, self-reported: deep venous thrombosis (dvt); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (21)Arm fat percentage (left); (21)Impedance of arm (left); (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (35)Non-cancer illness code, self-reported: pulmonary embolism +/- dvt; (21)Arm fat percentage (right); (34)Illnesses of father: Heart disease; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (195)Heel bone mineral density (BMD) T-score, automated; (72)Treatment/medication code: warfarin; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Impedance of leg (left); (33)Diastolic blood pressure, automated reading; (11)Forced vital capacity (FVC); (21)Impedance of leg (right); (11)Peak expiratory flow (PEF); (35)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT); (11)Forced expiratory volume in 1-second (FEV1); (73)Non-cancer illness code, self-reported: high cholesterol
11_21_33_35_36_73	clump4	1	ABO	1	30	6	(73)Treatment/medication code: simvastatin; (21)Impedance of arm (right); (35)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung; (35)Diagnoses - main ICD10: I26 Pulmonary embolism; (35)Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis; (35)Non-cancer illness code, self-reported: deep venous thrombosis (dvt); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (21)Arm fat percentage (left); (21)Impedance of arm (left); (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (35)Non-cancer illness code, self-reported: pulmonary embolism +/- dvt; (21)Arm fat percentage (right); (34)Illnesses of father: Heart disease; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (195)Heel bone mineral density (BMD) T-score, automated; (72)Treatment/medication code: warfarin; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Impedance of leg (left); (33)Diastolic blood pressure, automated reading; (11)Forced vital capacity (FVC); (21)Impedance of leg (right); (11)Peak expiratory flow (PEF); (35)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT); (11)Forced expiratory volume in 1-second (FEV1); (73)Non-cancer illness code, self-reported: high cholesterol
11_21_33_35_36_72_73_195	clump4	1	ABO	1	4	8	(73)Treatment/medication code: simvastatin; (21)Impedance of arm (right); (35)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung; (35)Diagnoses - main ICD10: I26 Pulmonary embolism; (35)Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis; (35)Non-cancer illness code, self-reported: deep venous thrombosis (dvt); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (21)Arm fat percentage (left); (21)Impedance of arm (left); (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (35)Non-cancer illness code, self-reported: pulmonary embolism +/- dvt; (21)Arm fat percentage (right); (34)Illnesses of father: Heart disease; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (195)Heel bone mineral density (BMD) T-score, automated; (72)Treatment/medication code: warfarin; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Impedance of leg (left); (33)Diastolic blood pressure, automated reading; (11)Forced vital capacity (FVC); (21)Impedance of leg (right); (11)Peak expiratory flow (PEF); (35)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT); (11)Forced expiratory volume in 1-second (FEV1); (73)Non-cancer illness code, self-reported: high cholesterol
11_14_21_43_154	clump27	1	CCND2-AS1	1	1	5	(21)Leg fat mass (right); (21)Waist circumference; (21)Weight; (11)Forced expiratory volume in 1-second (FEV1), Best measure; (21)Trunk predicted mass; (11)Forced vital capacity (FVC), Best measure; (21)Arm predicted mass (left); (21)Leg fat-free mass (right); (21)Whole body fat mass; (21)Arm predicted mass (right); (43)Illnesses of mother: Diabetes; (14)Diabetes diagnosed by doctor; (21)Trunk fat mass; (43)Illnesses of father: Diabetes; (21)Sitting height; (21)Arm fat mass (left); (14)Non-cancer illness code, self-reported: diabetes; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (43)Treatment/medication code: metformin; (21)Basal metabolic rate; (21)Hip circumference; (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (21)Arm fat mass (right); (21)Leg fat mass (left); (11)Peak expiratory flow (PEF); (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (11)Forced expiratory volume in 1-second (FEV1); (154)Birth weight
6_14_21_33_34_36_73_85_110_119_154	clump0	1	FAM109A; SH2B3; ATXN2	3	8	11	(6)Smoking status: Previous; (21)Impedance of arm (right); (119)Illnesses of siblings: High blood pressure; (110)Treatment/medication code: thyroxine product; (33)Non-cancer illness code, self-reported: hypertension; (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (119)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: None of the above; (154)Birth weight of first child; (21)Weight; (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema; (21)Impedance of arm (left); (21)Trunk predicted mass; (33)Vascular/heart problems diagnosed by doctor: None of the above; (119)Medication for cholesterol, blood pressure or diabetes: Blood pressure medication; (21)Arm predicted mass (left); (34)Illnesses of father: Heart disease; (34)Diagnoses - main ICD10: I21 Acute myocardial infarction; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (6)Past tobacco smoking; (85)Illnesses of siblings: None of the above (group 1); (14)Number of treatments/medications taken; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (14)Taking other prescription medications; (21)Whole body water mass; (21)Leg predicted mass (right); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (36)Treatment/medication code: levothyroxine sodium; (155)Mean time to correctly identify matches; (21)Standing height; (21)Impedance of whole body; (21)Leg predicted mass (left); (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (14)Number of self-reported non-cancer illnesses; (33)Diastolic blood pressure, automated reading; (21)Basal metabolic rate; (21)Hip circumference; (34)Non-cancer illness code, self-reported: heart attack/myocardial infarction; (85)Treatment/medication code: atenolol; (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (33)Systolic blood pressure, automated reading; (21)Whole body fat-free mass; (119)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication; (21)Leg fat-free mass (left); (154)Birth weight
