pathway	n_phen	n_clust	enrich_un_n2	un_n2_erich
GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP	39	14	7	3
MCCABE_HOXC6_TARGETS_CANCER_UP	14	9	4	1
GSE25088_CTRL_VS_ROSIGLITAZONE_STIM_MACROPHAGE_UP	40	13	5	2
GSE23502_BM_VS_COLON_TUMOR_MYELOID_DERIVED_SUPPRESSOR_CELL_DN	33	12	4	2
HALLMARK_HEDGEHOG_SIGNALING	32	10	4	2
JEPSEN_SMRT_TARGETS	39	13	9	2
GSE30083_SP2_VS_SP3_THYMOCYTE_DN	40	13	7	3
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_6	28	9	3	2
JI_METASTASIS_REPRESSED_BY_STK11	11	5	2	0
GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_TREG_UP	51	11	5	3
GSE27434_WT_VS_DNMT1_KO_TREG_DN	45	16	9	4
E2F1DP1RB_01	50	13	5	3
PDGF_UP.V1_DN	41	9	4	3
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_UP	29	8	4	3
TSAI_RESPONSE_TO_RADIATION_THERAPY	27	8	4	1
VALK_AML_CLUSTER_15	29	12	7	2
PID_GLYPICAN_1PATHWAY	32	7	4	2
ROZANOV_MMP14_TARGETS_SUBSET	12	6	3	1
NAKAMURA_ADIPOGENESIS_LATE_UP	41	12	5	2
NRF2_Q4	39	13	6	2
FISCHER_G2_M_CELL_CYCLE	35	8	3	2
chr4p15	45	9	3	1
GRAESSMANN_APOPTOSIS_BY_SERUM_DEPRIVATION_DN	37	12	6	3
TGACGTCA_ATF3_Q6	42	13	7	2
NIKOLSKY_BREAST_CANCER_8Q12_Q22_AMPLICON	31	10	4	1
GSE2585_CD80_HIGH_VS_LOW_MTEC_UP	40	11	7	2
chr8q21	28	11	4	1
GSE24574_NAIVE_VS_TCONV_CD4_TCELL_UP	50	16	5	3
ERB2_UP.V1_DN	44	12	4	2
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_IL6_TREATED_DN	35	15	7	2
KIM_MYCN_AMPLIFICATION_TARGETS_DN	35	15	7	3
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_24H_CD4_TCELL_UP	46	15	6	3
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP	22	8	4	2
GSE15330_WT_VS_IKAROS_KO_HSC_UP	44	14	5	3
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	17	8	3	2
GSE14908_RESTING_VS_HDM_STIM_CD4_TCELL_NONATOPIC_PATIENT_DN	43	12	8	3
RODRIGUES_THYROID_CARCINOMA_UP	6	5	2	0
GSE6875_TCONV_VS_TREG_UP	47	17	10	5
GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_UP	39	17	7	3
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP	45	14	6	3
GSE2706_UNSTIM_VS_8H_LPS_AND_R848_DC_DN	31	15	9	3
GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_UP	41	12	7	3
KIM_GERMINAL_CENTER_T_HELPER_UP	20	11	6	3
GSE4142_PLASMA_CELL_VS_MEMORY_BCELL_UP	34	12	5	2
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	18	10	4	2
WENDT_COHESIN_TARGETS_UP	9	7	3	2
GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_3DAY_STIMULATED_BCELL_DN	43	12	5	2
LI_CYTIDINE_ANALOG_PATHWAY	7	6	3	1
LEI_HOXC8_TARGETS_DN	16	7	4	3
chr4q24	17	8	2	0
COMP1_01	58	21	7	5
GSE17974_0H_VS_0.5H_IN_VITRO_ACT_CD4_TCELL_UP	36	8	3	2
GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_IL23A_TREATED_CD4_TCELL_DN	46	13	7	2
GSE13522_CTRL_VS_T_CRUZI_BRAZIL_STRAIN_INF_SKIN_DN	41	15	7	3
BROWNE_HCMV_INFECTION_14HR_DN	62	25	11	6
ACEVEDO_FGFR1_TARGETS_IN_PROSTATE_CANCER_MODEL_UP	45	15	7	3
TERAMOTO_OPN_TARGETS_CLUSTER_8	5	4	1	1
GSE26488_WT_VS_HDAC7_KO_DOUBLE_POSITIVE_THYMOCYTE_DN	47	19	10	3
GSE6090_UNSTIM_VS_DC_SIGN_STIM_DC_UP	37	9	3	2
GSE27786_CD8_TCELL_VS_NEUTROPHIL_DN	46	16	7	4
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_48H_CD4_TCELL_UP	43	16	7	3
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16	29	10	5	3
LANDIS_ERBB2_BREAST_PRENEOPLASTIC_UP	6	5	1	0
GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP	45	11	4	2
VERRECCHIA_RESPONSE_TO_TGFB1_C1	21	6	2	1
GSE14908_RESTING_VS_HDM_STIM_CD4_TCELL_NONATOPIC_PATIENT_UP	40	11	6	4
GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN	45	13	7	3
GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_STAT3_KO_CD4_TCELL_DN	39	12	6	2
GSE2585_CTEC_VS_THYMIC_MACROPHAGE_UP	36	11	4	2
GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_DN	43	12	7	3
GSE29949_MICROGLIA_BRAIN_VS_CD8_NEG_DC_SPLEEN_UP	48	17	7	4
GSE17721_POLYIC_VS_PAM3CSK4_0.5H_BMDC_DN	33	8	3	3
FAC1_01	57	19	10	5
BASSO_HAIRY_CELL_LEUKEMIA_UP	51	19	8	4
GSE4748_CTRL_VS_LPS_STIM_DC_3H_UP	58	19	10	5
chr2q36	24	9	4	0
TOMIDA_METASTASIS_UP	9	8	3	1
CERVERA_SDHB_TARGETS_2	46	16	8	4
BMI1_DN.V1_DN	44	12	4	3
SHARMA_PILOCYTIC_ASTROCYTOMA_LOCATION_DN	5	5	1	0
MCCLUNG_CREB1_TARGETS_DN	27	10	5	2
GSE3982_DC_VS_EFF_MEMORY_CD4_TCELL_DN	50	15	9	4
GGCNNMSMYNTTG_UNKNOWN	32	10	4	3
GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_IL4_UP	41	12	5	4
HOELZEL_NF1_TARGETS_UP	52	21	6	4
NIELSEN_GIST_AND_SYNOVIAL_SARCOMA_UP	15	12	3	1
GSE21360_NAIVE_VS_SECONDARY_MEMORY_CD8_TCELL_UP	48	22	9	3
CSR_LATE_UP.V1_DN	38	17	6	2
MULLIGHAN_MLL_SIGNATURE_1_DN	46	17	7	2
GSE37534_GW1929_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_DN	29	11	5	2
AGGAAGC_MIR5163P	35	16	4	3
GSE41978_ID2_KO_AND_BIM_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	33	14	3	3
chr6p25	9	9	2	0
GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_UP	36	17	7	3
ZHOU_INFLAMMATORY_RESPONSE_FIMA_DN	60	25	11	4
VANTVEER_BREAST_CANCER_ESR1_UP	51	14	6	3
chr3q26	29	11	4	0
chr6q26	29	16	9	4
GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN	34	10	4	2
GSE15271_CXCR4_POS_VS_NEG_GC_BCELL_DN	38	12	7	4
GSE2706_LPS_VS_R848_AND_LPS_8H_STIM_DC_UP	49	14	6	3
ACAWNRNSRCGG_UNKNOWN	33	10	4	2
GSE16450_CTRL_VS_IFNA_12H_STIM_MATURE_NEURON_CELL_LINE_UP	44	16	9	4
GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	43	15	7	4
GSE3565_DUSP1_VS_WT_SPLENOCYTES_POST_LPS_INJECTION_UP	44	13	6	4
GSE1448_ANTI_VALPHA2_VS_VBETA5_DP_THYMOCYTE_DN	52	17	8	5
GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_DN	56	16	8	4
GSE360_L_DONOVANI_VS_T_GONDII_DC_UP	45	15	5	3
GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_DN	39	12	7	2
GSE37534_GW1929_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_DN	36	14	4	2
GSE17580_TREG_VS_TEFF_S_MANSONI_INF_UP	47	19	11	5
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	31	8	3	2
GSE36891_UNSTIM_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_DN	42	9	5	2
URS_ADIPOCYTE_DIFFERENTIATION_DN	19	9	6	2
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_1	65	24	10	4
WWTAAGGC_UNKNOWN	46	13	6	3
GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_UP	36	11	5	3
GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP	46	11	4	2
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_DN	49	12	7	3
GSE8835_HEALTHY_VS_CLL_CD4_TCELL_DN	49	13	7	2
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_DN	45	13	5	3
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_DN	29	13	6	3
GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_DN	49	18	9	3
GSE37416_0H_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_UP	37	10	4	3
HOLLMANN_APOPTOSIS_VIA_CD40_DN	38	16	9	3
GSE20366_TREG_VS_NAIVE_CD4_TCELL_UP	42	14	8	3
GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP	43	18	8	2
GSE42724_NAIVE_VS_B1_BCELL_UP	45	17	7	4
GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_DN	48	16	7	3
GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_DN	48	14	7	4
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_UP	43	15	8	3
GSE40274_CTRL_VS_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	54	17	7	2
GSE21033_CTRL_VS_POLYIC_STIM_DC_12H_UP	44	17	6	3
GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	39	15	8	3
GSE6269_HEALTHY_VS_E_COLI_INF_PBMC_DN	52	16	6	4
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	46	12	5	4
GSE14308_INDUCED_VS_NATURAL_TREG_DN	37	11	7	2
GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_UP	32	7	4	4
SNF5_DN.V1_UP	44	10	5	2
GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_UP	44	14	7	4
GSE35825_UNTREATED_VS_IFNA_STIM_MACROPHAGE_UP	40	12	7	2
IL21_UP.V1_UP	47	14	7	5
GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_UP	39	11	7	4
CCCACAT_MIR2993P	29	11	5	3
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	48	12	6	3
GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_DN	37	11	6	2
GSE21670_TGFB_VS_IL6_TREATED_CD4_TCELL_DN	33	10	6	3
GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_DN	30	6	3	2
CTCCAAG_MIR432	33	10	4	3
INGRAM_SHH_TARGETS_UP	53	15	6	3
GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IFNAB_CD8_TCELL_UP	45	12	7	2
GSE7509_UNSTIM_VS_FCGRIIB_STIM_MONOCYTE_UP	38	10	3	2
KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP	39	13	8	6
FARMER_BREAST_CANCER_CLUSTER_5	22	4	2	2
GSE8685_IL2_STARVED_VS_IL15_ACT_IL2_STARVED_CD4_TCELL_UP	31	6	2	2
TCF4_Q5	54	24	6	4
GSE3039_CD4_TCELL_VS_B2_BCELL_DN	53	17	10	6
GSE20366_CD103_POS_VS_NEG_TREG_KLRG1NEG_UP	42	16	9	3
GSE9650_GP33_VS_GP276_LCMV_SPECIFIC_EXHAUSTED_CD8_TCELL_UP	48	17	10	5
REACTOME_GPCR_LIGAND_BINDING	55	21	8	6
GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_UP	45	10	3	2
GSE15330_MEGAKARYOCYTE_ERYTHROID_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_UP	37	8	4	2
GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_DN	52	20	9	5
GSE23925_DARK_ZONE_VS_NAIVE_BCELL_UP	44	12	5	2
GSE17186_MEMORY_VS_CD21HIGH_TRANSITIONAL_BCELL_UP	45	15	7	3
TAVOR_CEBPA_TARGETS_DN	29	7	4	2
GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP	33	10	4	3
GSE36826_WT_VS_IL1R_KO_SKIN_STAPH_AUREUS_INF_DN	40	15	7	3
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP	44	15	8	3
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_3H_DN	49	15	6	3
LANDIS_ERBB2_BREAST_PRENEOPLASTIC_DN	28	7	3	2
GSE7460_WT_VS_FOXP3_HET_ACT_WITH_TGFB_TCONV_DN	38	14	7	3
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL6_KO_MACROPHAGE_45MIN_UP	42	11	5	2
GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_RARA_AGONIST_AM580_TREATED_DC_DN	36	14	10	5
GSE25085_FETAL_LIVER_VS_FETAL_BM_SP4_THYMIC_IMPLANT_DN	38	13	6	3
GSE27786_LSK_VS_CD8_TCELL_DN	38	9	3	2
GSE17721_POLYIC_VS_CPG_0.5H_BMDC_DN	43	14	6	3
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_4H_UP	39	12	7	4
SENGUPTA_EBNA1_ANTICORRELATED	55	15	8	3
GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_UP	43	14	7	3
SUBTIL_PROGESTIN_TARGETS	29	5	2	2
FIRESTEIN_CTNNB1_PATHWAY	32	8	4	2
GSE9650_NAIVE_VS_EFF_CD8_TCELL_UP	60	18	7	5
GSE27786_NKCELL_VS_NEUTROPHIL_UP	39	12	7	3
GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_UP	43	16	7	4
GSE15659_RESTING_TREG_VS_NONSUPPRESSIVE_TCELL_UP	32	11	4	2
GSE21033_1H_VS_24H_POLYIC_STIM_DC_DN	39	14	6	4
GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN	42	12	4	3
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	34	10	6	4
GSE30153_LUPUS_VS_HEALTHY_DONOR_BCELL_UP	44	18	8	3
GSE7831_UNSTIM_VS_CPG_STIM_PDC_1H_UP	45	14	7	4
ROSS_AML_WITH_AML1_ETO_FUSION	25	6	3	2
GARCIA_TARGETS_OF_FLI1_AND_DAX1_DN	36	9	3	2
YY1_Q6	44	15	8	5
ACEVEDO_LIVER_CANCER_DN	68	20	11	7
FIGUEROA_AML_METHYLATION_CLUSTER_3_DN	20	7	4	4
HOXA3_01	21	9	6	2
GSE17974_0.5H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP	32	9	4	2
EIF4E_DN	50	13	5	3
GSE33425_CD161_INT_VS_NEG_CD8_TCELL_DN	40	13	6	3
GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP	53	18	9	4
GSE16697_CD4_TCELL_VS_TFH_CD4_TCELL_DN	39	10	3	3
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_LYMPHOID_PRIMED_MPP_DN	30	8	4	2
YANG_BREAST_CANCER_ESR1_UP	23	8	4	3
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	34	11	3	2
GSE24671_CTRL_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_UP	52	13	6	3
HUANG_DASATINIB_RESISTANCE_DN	36	8	4	2
GSE43863_NAIVE_VS_LY6C_LOW_CXCR5NEG_CD4_EFF_TCELL_D6_LCMV_DN	42	9	4	2
GACAATC_MIR219	61	20	8	4
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_DN	34	9	4	2
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP	36	15	7	2
GSE7568_CTRL_VS_3H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN	52	12	5	3
REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE	36	6	4	3
PEART_HDAC_PROLIFERATION_CLUSTER_DN	42	9	5	2
PLASARI_TGFB1_TARGETS_1HR_UP	35	9	3	3
GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY8_EFFECTOR_CD8_TCELL_DN	39	12	6	2
REACTOME_MEMBRANE_TRAFFICKING	31	7	3	2
GSE22886_NAIVE_CD4_TCELL_VS_DC_UP	50	17	8	4
GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_DN	44	8	3	2
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_DN	42	11	4	2
GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_UP	38	12	5	2
GSE22886_NEUTROPHIL_VS_MONOCYTE_DN	35	11	4	3
HELLER_SILENCED_BY_METHYLATION_UP	59	17	9	6
EPPERT_CE_HSC_LSC	28	11	5	2
GSE40274_FOXP3_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	34	10	4	2
GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_DN	53	14	9	5
GSE23925_LIGHT_ZONE_VS_NAIVE_BCELL_DN	43	9	4	3
GSE3920_UNTREATED_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN	43	13	5	2
GSE21033_1H_VS_24H_POLYIC_STIM_DC_UP	52	15	5	3
TAATGTG_MIR323	45	18	8	3
BHATTACHARYA_EMBRYONIC_STEM_CELL	24	7	3	2
BROWNE_HCMV_INFECTION_18HR_UP	49	20	10	6
GAL_LEUKEMIC_STEM_CELL_UP	50	13	5	3
LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_UP	42	13	6	4
TONG_INTERACT_WITH_PTTG1	34	5	3	2
GSE27092_WT_VS_HDAC7_PHOSPHO_DEFICIENT_CD8_TCELL_UP	41	14	6	4
GSE29618_PRE_VS_DAY7_FLU_VACCINE_MDC_DN	42	12	5	2
GSE7509_FCGRIIB_VS_TNFA_IL1B_IL6_PGE_STIM_DC_DN	42	10	4	2
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MONOCYTE_UP	40	14	8	3
GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_DN	44	16	9	2
GSE15324_NAIVE_VS_ACTIVATED_CD8_TCELL_UP	35	8	5	3
GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP	41	15	6	3
GSE3982_MAST_CELL_VS_TH2_DN	41	8	5	2
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_DN	46	17	9	4
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_DN	40	12	6	3
HALLMARK_ALLOGRAFT_REJECTION	36	16	7	4
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP	37	9	3	2
GSE17974_1H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	36	10	5	3
CTCNANGTGNY_UNKNOWN	51	16	9	5
GSE17721_CTRL_VS_LPS_0.5H_BMDC_UP	27	9	3	2
WU_CELL_MIGRATION	36	11	4	3
GSE3982_BASOPHIL_VS_TH1_DN	48	16	9	3
GSE339_CD4POS_VS_CD4CD8DN_DC_DN	35	11	4	3
GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_LN_UP	43	12	5	2
GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP	50	17	7	2
GCNP_SHH_UP_LATE.V1_UP	32	8	4	2
PBX1_02	45	19	8	3
SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN	40	14	6	2
MCCLUNG_COCAINE_REWARD_5D	45	8	3	2
GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_DN	54	17	8	3
GSE16522_MEMORY_VS_NAIVE_CD8_TCELL_UP	56	19	11	3
GSE25088_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_UP	52	12	5	2
GSE23505_UNTREATED_VS_4DAY_IL6_IL1_IL23_TREATED_CD4_TCELL_UP	44	16	8	4
chr17q22	22	7	3	2
RB_P130_DN.V1_DN	39	9	3	2
GSE17721_CTRL_VS_LPS_12H_BMDC_DN	49	14	6	3
GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP	37	10	4	2
GSE17721_LPS_VS_PAM3CSK4_0.5H_BMDC_DN	51	15	9	4
GSE3982_EFF_MEMORY_CD4_TCELL_VS_NKCELL_DN	42	14	8	2
GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP	51	13	7	3
TCCAGAG_MIR518C	48	16	6	5
GSE28737_BCL6_HET_VS_BCL6_KO_FOLLICULAR_BCELL_DN	46	10	4	2
GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_UP	40	8	3	2
GSE27786_CD8_TCELL_VS_MONO_MAC_UP	38	13	7	3
GSE20727_CTRL_VS_ROS_INHIBITOR_TREATED_DC_UP	42	8	3	2
GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP	47	15	6	4
GSE18281_SUBCAPSULAR_VS_PERIMEDULLARY_CORTICAL_REGION_OF_THYMUS_UP	44	11	4	2
GSE36009_UNSTIM_VS_LPS_STIM_DC_UP	41	17	10	3
GSE4142_NAIVE_BCELL_VS_PLASMA_CELL_UP	52	18	10	4
GSE21670_TGFB_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP	39	12	5	4
GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_DN	37	11	5	3
GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_6H_UP	32	10	4	3
LINDGREN_BLADDER_CANCER_CLUSTER_2B	47	17	7	4
GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP	44	15	6	4
GSE17721_CPG_VS_GARDIQUIMOD_4H_BMDC_DN	43	14	7	3
GSE17721_12H_VS_24H_POLYIC_BMDC_UP	40	10	4	2
REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C	36	6	5	3
STAT_Q6	54	21	11	5
GSE18893_CTRL_VS_TNF_TREATED_TCONV_24H_DN	47	11	4	2
GSE27786_NKTCELL_VS_ERYTHROBLAST_DN	38	11	5	3
GSE37301_PRO_BCELL_VS_RAG2_KO_NK_CELL_DN	56	20	10	4
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP	47	11	5	3
GSE16385_ROSIGLITAZONE_IL4_VS_IL4_ALONE_STIM_MACROPHAGE_12H_UP	33	10	5	2
GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	36	12	7	2
GSE22886_CTRL_VS_LPS_24H_DC_UP	42	9	4	3
GSE30962_PRIMARY_VS_SECONDARY_CHRONIC_LCMV_INF_CD8_TCELL_UP	44	12	6	3
PID_TAP63_PATHWAY	44	9	3	2
PENG_RAPAMYCIN_RESPONSE_DN	49	12	7	3
GSE7852_TREG_VS_TCONV_UP	48	18	8	3
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_DN	41	14	9	3
LANDIS_ERBB2_BREAST_TUMORS_324_UP	32	12	8	4
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_BCELL_UP	46	12	6	2
FARMER_BREAST_CANCER_CLUSTER_4	15	8	2	2
GSE2706_R848_VS_LPS_8H_STIM_DC_UP	19	10	4	2
KAECH_NAIVE_VS_MEMORY_CD8_TCELL_UP	60	17	10	5
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	33	9	5	2
EGFR_UP.V1_UP	52	18	7	4
FUNG_IL2_TARGETS_WITH_STAT5_BINDING_SITES	24	6	2	2
GSE7460_TREG_VS_TCONV_ACT_UP	41	15	8	4
SESTO_RESPONSE_TO_UV_C5	46	16	8	3
GSE28737_WT_VS_BCL6_KO_FOLLICULAR_BCELL_DN	45	12	5	3
GSE11961_FOLLICULAR_BCELL_VS_MARGINAL_ZONE_BCELL_UP	43	13	5	4
GSE45365_NK_CELL_VS_CD11B_DC_MCMV_INFECTION_DN	32	11	4	2
HUPER_BREAST_BASAL_VS_LUMINAL_DN	32	8	3	2
GSE6092_CTRL_VS_BORRELIA_BIRGDOFERI_INF_ENDOTHELIAL_CELL_UP	32	7	4	3
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_10H_UP	45	14	7	5
GSE6875_TCONV_VS_FOXP3_KO_TREG_DN	46	15	6	2
GSE17301_IFNA2_VS_IFNA2_AND_ACD3_ACD28_STIM_CD8_TCELL_UP	36	11	7	2
GSE15659_RESTING_VS_ACTIVATED_TREG_UP	44	11	4	2
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	29	8	3	2
GSE41867_NAIVE_VS_DAY8_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP	45	14	5	3
GSE360_DC_VS_MAC_T_GONDII_UP	40	15	7	4
HALLMARK_KRAS_SIGNALING_UP	57	21	8	5
BILD_HRAS_ONCOGENIC_SIGNATURE	40	12	5	4
GSE18893_TCONV_VS_TREG_24H_TNF_STIM_DN	42	11	5	2
GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_DN	31	7	4	2
GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	29	7	3	2
RIGGINS_TAMOXIFEN_RESISTANCE_UP	35	12	7	4
FINETTI_BREAST_CANCERS_KINOME_BLUE	35	9	4	2
GSE40274_CTRL_VS_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	34	12	4	2
chr1p36	38	13	7	2
GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_CTRL_CD4_TCELL_DN	46	15	9	3
GSE4142_NAIVE_BCELL_VS_PLASMA_CELL_DN	37	9	4	2
